PARAMETER,VALUE,UNITS/NOTES

UPASserial,0012,(UPAS serial identification-numerical)
PMserial,D40DA7228F050C87_2.2_7_2.0,(SPS 30 serial identiication_FWver_HWrev_SHDLCver)
UPASfirmware,SHEARv2_7_2-rev_00270-L476RE_20220922_mbedOS-6_16_0.bin compiled Sep 23 2022_04:33:48 UTC,(installed firmware version)
LifetimeSampleCount,37,(count-total lifetime sample runs)
LifetimeSampleRuntime,1382.56,(hrs-total lifetime cumulative sample runtime)




SAMPLE IDENTIFICATION

LogFilename,/sd/20221128/SH00012_LOG_2022-11-28T11_50_37UTC_C_005_01_X______C2380.txt,(log file filename-automatically defined)
SampleName,C_005_01_X_____,(Sample Name-user entered into app)
CartridgeID,C2380,(Cartridge Identification-user entered into app or QR scanned)
BlankID,C2371,(Blank Filter Identification-user entered into app or QR scanned)




SETUP SUMMARY

GPSUTCOffset,2.00,(hours offset from UTC date time)
StartOnNextPowerUp,1,(0=no 1=yes)
ProgrammedStartDelay,0,(s)
ProgrammedRuntime,172800,(s) (360000000 means 'indefinite')
VolumetricFlowRate,1.000,(L*min^-1)
FlowOffset,0.000000,(%)
DutyCycle,100,(%)
DutyCycleWindow,30,(s)
GPSEnabled,1,(0=no 1=yes)
PMSensorInterval,1,(0=sensor disabled 1=continuous measurement 2-15=intermittent measurement interval in minutes 16=15s warmup-5s measurement-10s sleep 17=15s warmup-5s measurement-40s sleep 18=20s warmup-10s measurement-30s sleep)
LogInterval,30,(s)




SAMPLE SUMMARY

StartDateTimeUTC,2022-11-28T11:50:37,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
StartBatteryCharge,099,(%)
StartBatteryVoltage,4.17,(V)
EndDateTimeUTC,2022-11-30T09:17:00,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
EndBatteryCharge,009,(%)
EndBatteryVoltage,2.80,(V)
ShutdownMode,2,(0=unknown error 1=user pushbutton stop 2=depleted battery [<2.8v] 3=completed preset sample duration 4=thermal protection shutdown 5=max power at initialization 6=max power during sample 7=blocked flow during sample 8=SD card removed during sample 9=freeze)
PM2_5SampledMass,102.2847,(ug)
SampledRuntime, 45.440,(Hr)
LoggedRuntime, 45.440,(Hr)
AverageVolumetricFlowRate,0.796,(L*min^-1)
SampledVolume, 2170.54,(L)



FLOW CALIBRATION COEFFICIENTS

MFSCalDate,2021-10-08T17:46:40,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
MF4,0.893787,(coefficient)
MF3,-3.717654,(coefficient)
MF2,6.006474,(coefficient)
MF1,-3.194707,(coefficient)
MF0,0.499015,(coefficient)
MFSVoltMin,0.520000,(V)
MFSVoltMax,2.145000,(V)
MFSMFMin,0.004537,(g*min^-1)
MFSMFMax,3.513700,(g*min^-1)




SAMPLE LOG

(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
0:00:53,1669636290,2022-11-28T11:51:30,2022-11-28T13:51:30,1.018,0.51,29.2,30.09,30.22,29.93,31.96,860.58,860.09,128.333328,49.14,0.9823,638,0,8.864,0.9984,4.14,52750,99,30,4.68,0.24,5.29,0.39,5.58,0.51,5.72,0.57,31.05,9.43,36.77,14.2,37.26,15.18,37.35,15.39,37.35,15.39,0.6,0.0,0.0013,0,-1.981069,30.747019,1368.2,6,0.054484,1.1,475.5,39230.4,-57,688,203.4,87413.3,-3,935,-787.3,66240.2,-1213,-47,-724.7,505490784.0,-57828,52508,3778.7,306566848.0,-28866,73841,-5683.9,596138752.0,-106627,21822,0.0,0.0,0.0,16.7,83.3,0.0,0,0.0,0.031067,0.0,0.0,0.0,30.0
0:01:23,1669636320,2022-11-28T11:52:00,2022-11-28T13:52:00,1.016,1.02,29.59,30.22,30.84,29.93,32.21,860.53,859.78,127.466667,47.02,0.9809,641,0,8.85,0.99571,4.14,52739,99,30,4.24,0.02,4.67,0.03,4.82,0.03,4.89,0.03,28.54,1.12,33.53,1.54,33.83,1.56,33.88,1.57,33.88,1.57,0.6,0.0,0.0039,0,-9999.0,-9999.0,-9999.0,4,-9999.0,-9999.0,739.4,10057.6,316,832,4.6,14064.8,-229,288,-702.7,8913.4,-966,-498,2935.5,331978720.0,-35437,81672,2088.3,1627687808.0,-172480,120513,2437.2,170448528.0,-15601,55133,0.0,43.3,0.0,0.0,56.7,0.0,0,0.214441,0.071233,0.074416,0.038959,0.0,30.0
0:01:53,1669636350,2022-11-28T11:52:30,2022-11-28T13:52:30,1.016,1.52,29.95,30.29,31.33,29.93,32.52,860.55,859.37,127.866669,46.09,0.9792,644,0,8.836,0.99284,4.14,52728,99,30,4.93,0.01,5.38,0.01,5.52,0.01,5.59,0.01,33.27,0.6,39.02,0.79,39.32,0.79,39.37,0.79,39.37,0.79,0.59,0.0,0.0064,0,-1.980935,30.74625,1435.8,4,2.60084,3.0,810.6,175.3,781,839,175.6,1466.2,73,225,-608.4,645.2,-675,-564,229.1,12225832.0,-12083,10211,466.3,3372970.2,-5092,3368,-815.3,2838453.0,-4733,3001,0.0,100.0,0.0,0.0,0.0,0.0,0,0.206666,0.131082,0.066497,0.038871,0.0,30.0
0:02:23,1669636380,2022-11-28T11:53:00,2022-11-28T13:53:00,1.014,2.03,30.27,30.39,31.72,30.52,32.87,860.54,859.06,126.716667,44.94,0.9779,646,0,8.825,0.99111,4.14,52717,99,30,4.89,0.0,5.29,0.0,5.4,0.0,5.45,0.0,33.12,0.09,38.76,0.12,39.01,0.12,39.05,0.12,39.05,0.12,0.59,0.0,0.0091,0,-1.981055,30.746923,1420.3,5,0.104856,1.2,574.9,52793.5,121,1044,87.1,10357.7,-309,317,-672.1,196169.4,-1007,503,-1087.4,967146624.0,-131582,73071,-5341.4,1587093248.0,-156642,56376,-1713.3,357716256.0,-55650,56516,0.0,40.0,0.0,0.0,60.0,0.0,0,0.205711,0.12577,0.066327,0.038879,0.0,30.0
0:02:53,1669636410,2022-11-28T11:53:30,2022-11-28T13:53:30,1.011,2.54,30.54,30.5,32.08,30.52,33.21,860.56,858.79,127.683334,44.97,0.9766,648,0,8.815,0.99016,4.14,52706,99,30,4.49,0.02,4.83,0.03,4.9,0.03,4.93,0.03,30.47,1.04,35.6,1.42,35.79,1.44,35.82,1.44,35.82,1.44,0.56,0.0,0.0117,0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,774.4,3681.2,493,866,290.0,5397.8,196,664,-610.2,2302.9,-825,-573,-167.7,259286256.0,-76195,41265,2709.9,99621920.0,-5635,50277,-967.2,59721092.0,-36443,18716,0.0,96.7,0.0,0.0,3.3,0.0,0,0.206739,0.163732,0.068024,0.038009,0.0,30.0
0:03:23,1669636440,2022-11-28T11:54:00,2022-11-28T13:54:00,1.015,3.04,30.8,30.65,32.42,30.52,33.53,860.48,858.69,127.416664,44.71,0.9756,650,0,8.806,0.98863,4.14,52696,99,30,4.7,0.02,4.98,0.02,4.98,0.02,4.98,0.02,32.12,0.99,37.38,1.33,37.5,1.33,37.51,1.33,37.51,1.33,0.54,0.0,0.0142,0,-1.981049,30.746889,1415.4,3,0.275504,9.0,781.1,54.5,767,792,324.2,36.6,313,337,-576.9,464.1,-613,-546,165.2,928396.0,-4681,1260,285.5,149919.0,-787,1863,-814.6,174524.4,-1400,647,0.0,100.0,0.0,0.0,0.0,0.0,0,0.206311,0.058595,0.066392,0.038994,0.0,30.0
0:03:53,1669636470,2022-11-28T11:54:30,2022-11-28T13:54:30,1.013,3.55,31.02,30.87,32.65,31.11,33.86,860.48,858.58,127.26667,43.72,0.9748,652,0,8.799,0.98672,4.14,52685,99,30,4.43,0.09,4.69,0.1,4.69,0.1,4.69,0.1,30.32,4.23,35.27,5.72,35.37,5.76,35.39,5.76,35.39,5.76,0.54,0.0,0.0166,0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,792.5,129.1,777,805,311.3,152.0,295,348,-573.4,444.0,-611,-534,63.0,1191631.2,-5635,866,55.1,3488411.2,-9756,2502,-1234.3,2737451.0,-9651,-385,0.0,100.0,0.0,0.0,0.0,0.0,0,0.205437,0.113291,0.066383,0.037992,0.0,30.0
0:04:23,1669636500,2022-11-28T11:55:00,2022-11-28T13:55:00,1.013,4.05,31.25,31.14,32.85,31.11,34.04,860.53,858.65,126.916664,43.21,0.9742,654,0,8.791,0.98691,4.14,52674,99,30,4.49,0.0,4.75,0.01,4.75,0.01,4.75,0.01,30.71,0.22,35.73,0.29,35.83,0.3,35.84,0.3,35.84,0.3,0.54,0.0,0.019,0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,807.2,10.1,801,813,305.8,17.2,298,315,-551.7,273.7,-578,-527,352.9,49253.2,-210,857,330.0,20638.3,26,726,-897.2,72707.7,-1540,-210,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213798,0.164727,0.074513,0.038989,0.0,30.0
0:04:53,1669636530,2022-11-28T11:55:30,2022-11-28T13:55:30,1.012,4.56,31.44,31.35,33.13,31.11,34.17,860.53,858.72,126.283333,42.43,0.9737,656,0,8.781,0.98463,4.14,52663,99,30,4.34,0.01,4.59,0.01,4.59,0.01,4.59,0.01,29.69,0.34,34.54,0.45,34.64,0.46,34.65,0.46,34.65,0.46,0.54,0.0,0.0214,0,-1.982144,30.749731,1417.0,3,14.330834,2.4,815.7,12.9,809,822,302.2,16.1,292,309,-540.0,214.9,-564,-515,385.9,117166.1,-323,1767,359.0,47984.7,-8,1251,-803.5,79036.1,-1391,-43,0.0,100.0,0.0,0.0,0.0,0.0,0,0.205763,0.053252,0.066254,0.038995,0.0,30.0
