PARAMETER,VALUE,UNITS/NOTES

UPASserial,0043,(UPAS serial identification-numerical)
PMserial,D409574D29F9CC8B_2.2_7_2.0,(SPS 30 serial identiication_FWver_HWrev_SHDLCver)
UPASfirmware,SHEARv2_7_2-rev_00277-L476RE_20230319_mbedOS-6_16_0.bin compiled Mar 19 2023_12:48:01 UTC,(installed firmware version)
LifetimeSampleCount,63,(count-total lifetime sample runs)
LifetimeSampleRuntime,3725.03,(hrs-total lifetime cumulative sample runtime)




SAMPLE IDENTIFICATION

LogFilename,/sd/20231010/SH00043_LOG_2023-10-10T08_32_21UTC_C_829_01_X______C2869.txt,(log file filename-automatically defined)
SampleName,C_829_01_X_____,(Sample Name-user entered into app)
CartridgeID,C2869,(Cartridge Identification-user entered into app or QR scanned)
BlankID,C3005,(Blank Filter Identification-user entered into app or QR scanned)




SETUP SUMMARY

GPSUTCOffset,2.00,(hours offset from UTC date time)
StartOnNextPowerUp,1,(0=no 1=yes)
ProgrammedStartDelay,0,(s)
ProgrammedRuntime,172800,(s) (360000000 means 'indefinite')
VolumetricFlowRate,1.000,(L*min^-1)
FlowOffset,0.000000,(%)
DutyCycle,100,(%)
DutyCycleWindow,30,(s)
GPSEnabled,1,(0=no 1=yes)
PMSensorInterval,1,(0=sensor disabled 1=continuous measurement 2-15=intermittent measurement interval in minutes 16=15s warmup-5s measurement-10s sleep 17=15s warmup-5s measurement-40s sleep 18=20s warmup-10s measurement-30s sleep)
LogInterval,30,(s)




SAMPLE SUMMARY

StartDateTimeUTC,2023-10-10T08:32:21,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
StartBatteryCharge,099,(%)
StartBatteryVoltage,4.14,(V)
EndDateTimeUTC,2023-10-12T08:32:23,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
EndBatteryCharge,088,(%)
EndBatteryVoltage,3.99,(V)
ShutdownMode,3,(0=unknown error 1=user pushbutton stop 2=depleted battery [<2.8v] 3=completed preset sample duration 4=thermal protection shutdown 5=max power at initialization 6=max power during sample 7=blocked flow during sample 8=SD card removed during sample 9=freeze)
PM2_5SampledMass,105.2870,(ug)
SampledRuntime, 48.000,(Hr)
LoggedRuntime, 48.002,(Hr)
AverageVolumetricFlowRate,1.000,(L*min^-1)
SampledVolume, 2879.49,(L)



FLOW CALIBRATION COEFFICIENTS

MFSCalDate,2023-07-26T14:04:48,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
MF4,2.351057,(coefficient)
MF3,-9.678775,(coefficient)
MF2,15.208613,(coefficient)
MF1,-9.230512,(coefficient)
MF0,2.146505,(coefficient)
MFSVoltMin,0.480000,(V)
MFSVoltMax,1.688625,(V)
MFSMFMin,0.274333,(g*min^-1)
MFSMFMax,2.455400,(g*min^-1)




SAMPLE LOG

(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
0:00:00,1696926741,,,1.017,0.0,30.19,30.85,31.25,0.0,0.0,868.13,868.77,111.26667,40.83,0.9901,661,0,9.053,1.00683,4.14,52770,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,30.0
0:00:39,1696926780,2023-10-10T08:33:00,2023-10-10T10:33:00,1.024,0.51,30.92,31.6,31.48,30.52,32.07,868.13,867.58,112.51667,42.85,0.9857,665,0,9.042,1.01461,4.12,52752,99,30.0,15.66,2.01,25.71,18.4,33.46,44.7,37.27,61.87,82.86,11.65,113.13,63.39,123.23,116.71,125.28,129.95,125.28,129.95,0.91,0.0,0.0066,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,946.7,95.9,924,965,-281.1,1452.3,-374,-225,-281.4,354.9,-310,-214,1574.0,25415360.0,-7866,16205,512.7,13662118.0,-7061,11900,-3057.9,4030434.0,-7437,4340,0.0,100.0,0.0,0.0,0.0,0.0,0,0.0,0.075929,0.0,0.0,0.0,30.0
0:01:09,1696926810,2023-10-10T08:33:30,2023-10-10T10:33:30,1.03,1.03,31.45,32.09,32.38,31.11,32.95,867.99,867.6,114.26667,41.58,0.984,670,0,9.023,1.01543,4.12,52739,99,30.0,12.59,0.08,17.83,0.75,21.65,2.04,23.53,2.91,74.2,3.63,94.55,3.99,99.64,4.91,100.66,5.24,100.66,5.24,0.75,0.0,0.0178,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,953.0,64.1,936,969,-263.7,747.1,-372,-225,-267.8,538.0,-322,-216,853.9,10115771.0,-11121,6396,373.6,6217704.0,-6081,6142,-2742.7,2693234.5,-7507,192,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21232,0.127939,0.067963,0.039349,0.0,30.0
0:01:39,1696926840,2023-10-10T08:34:00,2023-10-10T10:34:00,1.031,1.54,31.87,32.45,32.97,31.11,33.25,868.04,867.5,114.333336,41.19,0.9824,676,0,8.995,1.00928,4.12,52727,99,30.0,13.48,0.7,17.11,0.5,19.54,0.32,20.73,0.26,84.66,38.53,103.68,47.26,107.02,44.83,107.69,44.31,107.69,44.31,0.67,0.0,0.0267,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,946.7,362.1,910,998,-274.1,2821.7,-425,-185,-253.7,2142.3,-366,-144,1946.7,339366464.0,-68521,38823,397.6,51659068.0,-13746,21630,-3756.1,19545368.0,-21962,2091,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21927,0.176907,0.076659,0.0384,0.0,30.0
0:02:09,1696926870,2023-10-10T08:34:30,2023-10-10T10:34:30,1.031,2.05,32.24,32.81,33.42,31.69,33.63,868.24,867.53,113.916664,40.73,0.9812,682,0,8.967,1.00438,4.12,52714,99,30.0,14.23,0.12,16.97,0.42,18.6,0.78,19.4,1.0,92.29,2.77,110.84,5.92,113.2,7.45,113.66,7.79,113.66,7.79,0.64,0.0,0.0354,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,924.9,5129.9,671,1006,-255.6,9144.8,-403,28,-145.3,40825.2,-307,413,1418.5,52527716.0,-18961,20151,-833.3,182307184.0,-35848,45473,-622.9,69884872.0,-8820,35175,0.0,100.0,0.0,0.0,0.0,0.0,0,0.211891,0.029087,0.06816,0.03931,0.0,30.0
0:02:39,1696926900,2023-10-10T08:35:00,2023-10-10T10:35:00,1.024,2.56,32.55,33.06,33.81,31.69,34.13,868.11,867.36,113.716667,38.08,0.9804,686,0,8.95,1.00254,4.12,52701,99,30.0,14.08,0.2,16.1,0.44,17.12,0.7,17.63,0.85,93.21,7.07,110.59,11.32,112.17,12.59,112.48,12.85,112.48,12.85,0.62,0.0,0.0439,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,909.3,9111.3,652,1164,-331.9,12599.9,-613,-139,-295.5,5233.3,-432,-96,4692.5,2800638976.0,-151830,153273,-274.1,508198048.0,-61792,45272,-1656.2,301753984.0,-36225,62422,0.0,100.0,0.0,0.0,0.0,0.0,0,0.212134,0.144494,0.06816,0.039357,0.0,30.0
0:03:09,1696926930,2023-10-10T08:35:30,2023-10-10T10:35:30,1.022,3.07,32.86,33.36,34.15,32.28,34.25,868.12,867.3,112.51667,39.36,0.9789,690,0,8.936,0.99927,4.11,52689,99,30.0,12.11,0.1,13.33,0.22,13.77,0.34,13.98,0.41,81.53,3.43,95.75,5.73,96.56,6.45,96.71,6.6,96.71,6.6,0.57,0.0,0.0514,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,903.2,4867.0,792,1151,-399.4,6218.4,-589,-195,-340.4,3905.3,-453,-126,-572.1,258414080.0,-44257,31097,-1006.2,139975440.0,-30327,31587,-1945.8,55802744.0,-28472,18208,0.0,100.0,0.0,0.0,0.0,0.0,0,0.213081,0.186715,0.069919,0.039337,0.0,30.0
0:03:39,1696926960,2023-10-10T08:36:00,2023-10-10T10:36:00,1.023,3.58,33.19,33.67,34.51,32.28,35.15,868.21,867.32,112.616669,36.92,0.9782,694,0,8.919,0.99703,4.11,52676,99,30.0,12.54,0.08,13.35,0.04,13.42,0.02,13.46,0.02,85.62,4.91,99.72,5.69,100.07,5.2,100.13,5.1,100.13,5.1,0.55,0.0,0.0582,0.0,-1.969745,30.758728,1374.6,4.0,0.07453,2.1,885.1,1987.5,763,1002,-374.0,13852.2,-489,65,-271.3,14072.2,-395,195,-4053.9,1216581248.0,-97492,68215,3239.8,282315584.0,-37975,50417,-3559.6,66562580.0,-30581,13921,0.0,100.0,0.0,0.0,0.0,0.0,0,0.210373,0.180197,0.068053,0.039306,0.0,30.0
0:04:09,1696926990,2023-10-10T08:36:30,2023-10-10T10:36:30,1.021,4.09,33.54,33.92,34.9,32.86,35.03,868.04,867.2,112.366669,34.57,0.9774,698,0,8.904,0.99439,4.11,52663,99,30.0,11.06,0.77,11.7,0.86,11.7,0.86,11.7,0.86,75.73,35.96,88.06,48.61,88.29,48.87,88.32,48.91,88.32,48.91,0.53,0.0,0.0646,0.0,-1.969765,30.758736,1372.7,6.0,0.04626,1.6,874.0,4183.4,583,1053,-442.8,2387.1,-653,-364,-283.3,2543.5,-339,-91,-3585.3,418847040.0,-94290,11926,957.8,46211404.0,-15461,25235,-659.5,92016160.0,-10963,48938,0.0,100.0,0.0,0.0,0.0,0.0,0,0.218919,0.064656,0.076345,0.038372,0.0,30.0
0:04:39,1696927020,2023-10-10T08:37:00,2023-10-10T10:37:00,1.019,4.6,33.88,34.2,35.35,32.86,35.4,868.1,867.17,111.966667,34.21,0.9762,701,0,8.892,0.99194,4.11,52651,99,30.0,9.63,0.01,10.18,0.01,10.18,0.01,10.18,0.01,65.89,0.38,76.61,0.51,76.82,0.51,76.84,0.51,76.84,0.51,0.53,0.0,0.0701,0.0,-1.969746,30.758728,1365.8,7.0,0.0514,1.5,874.8,649.1,829,929,-458.5,2142.6,-536,-337,-280.7,636.7,-318,-228,-323.8,121435552.0,-45928,22802,2463.5,34888200.0,-10832,24517,-2859.8,10694227.0,-11611,9922,0.0,100.0,0.0,0.0,0.0,0.0,0,0.210926,0.119449,0.068173,0.039335,0.0,30.0
0:05:09,1696927050,2023-10-10T08:37:30,2023-10-10T10:37:30,1.018,5.1,34.2,34.45,35.76,33.45,35.94,867.98,867.05,111.866669,35.1,0.9747,704,0,8.879,0.99418,4.11,52638,99,30.0,9.81,0.01,10.37,0.01,10.37,0.01,10.37,0.01,67.15,0.59,78.08,0.8,78.29,0.8,78.31,0.8,78.31,0.8,0.55,0.0,0.0753,0.0,-1.969741,30.75873,1365.2,7.0,0.064764,1.5,901.0,593.1,836,953,-381.7,2164.8,-467,-274,-327.5,1266.7,-395,-278,3121.4,210116992.0,-34781,53567,-73.0,77824880.0,-41755,20125,-3808.9,13098740.0,-14481,3517,0.0,100.0,0.0,0.0,0.0,0.0,0,0.2101,0.176418,0.068137,0.039343,0.0,30.0
0:05:39,1696927080,2023-10-10T08:38:00,2023-10-10T10:38:00,1.019,5.61,34.53,34.73,36.13,33.45,36.19,868.08,866.99,112.26667,33.4,0.9738,707,0,8.866,0.98971,4.11,52626,99,30.0,9.04,0.06,9.56,0.06,9.56,0.06,9.56,0.06,61.91,2.65,71.98,3.59,72.18,3.6,72.2,3.61,72.2,3.61,0.54,0.0,0.0804,0.0,-1.969743,30.758718,1361.5,7.0,0.019018,1.5,907.4,401.8,862,938,-365.3,1446.5,-436,-275,-323.1,2210.6,-417,-262,-1958.3,248521968.0,-45998,48588,2112.4,32035242.0,-9458,15417,-4037.5,17907548.0,-19460,3815,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21031,0.056594,0.068155,0.039324,0.0,30.0
