PARAMETER,VALUE,UNITS/NOTES

UPASserial,0095,(UPAS serial identification-numerical)
PMserial,60E8269B7E48D2E6_2.2_7_2.0,(SPS 30 serial identiication_FWver_HWrev_SHDLCver)
UPASfirmware,SHEARv2_7_2-rev_00277-L476RE_20230319_mbedOS-6_16_0.bin compiled Mar 19 2023_12:48:01 UTC,(installed firmware version)
LifetimeSampleCount,64,(count-total lifetime sample runs)
LifetimeSampleRuntime,2804.95,(hrs-total lifetime cumulative sample runtime)




SAMPLE IDENTIFICATION

LogFilename,/sd/20231127/SH00095_LOG_2023-11-27T11_04_07UTC_W_736_01_X______C7314.txt,(log file filename-automatically defined)
SampleName,W_736_01_X_____,(Sample Name-user entered into app)
CartridgeID,C7314,(Cartridge Identification-user entered into app or QR scanned)
BlankID,C2662,(Blank Filter Identification-user entered into app or QR scanned)




SETUP SUMMARY

GPSUTCOffset,2.00,(hours offset from UTC date time)
StartOnNextPowerUp,1,(0=no 1=yes)
ProgrammedStartDelay,0,(s)
ProgrammedRuntime,172800,(s) (360000000 means 'indefinite')
VolumetricFlowRate,1.000,(L*min^-1)
FlowOffset,0.000000,(%)
DutyCycle,100,(%)
DutyCycleWindow,30,(s)
GPSEnabled,1,(0=no 1=yes)
PMSensorInterval,1,(0=sensor disabled 1=continuous measurement 2-15=intermittent measurement interval in minutes 16=15s warmup-5s measurement-10s sleep 17=15s warmup-5s measurement-40s sleep 18=20s warmup-10s measurement-30s sleep)
LogInterval,30,(s)




SAMPLE SUMMARY

StartDateTimeUTC,2023-11-27T11:04:07,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
StartBatteryCharge,099,(%)
StartBatteryVoltage,4.13,(V)
EndDateTimeUTC,2023-11-29T11:03:47,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
EndBatteryCharge,074,(%)
EndBatteryVoltage,3.83,(V)
ShutdownMode,3,(0=unknown error 1=user pushbutton stop 2=depleted battery [<2.8v] 3=completed preset sample duration 4=thermal protection shutdown 5=max power at initialization 6=max power during sample 7=blocked flow during sample 8=SD card removed during sample 9=freeze)
PM2_5SampledMass,451.1940,(ug)
SampledRuntime, 48.000,(Hr)
LoggedRuntime, 48.006,(Hr)
AverageVolumetricFlowRate,0.999,(L*min^-1)
SampledVolume, 2877.08,(L)



FLOW CALIBRATION COEFFICIENTS

MFSCalDate,2023-11-14T09:23:12,(YYYY-MM-DDTHH:MM:SS) (UTC date time format)
MF4,1.550583,(coefficient)
MF3,-5.919017,(coefficient)
MF2,8.919325,(coefficient)
MF1,-4.431195,(coefficient)
MF0,0.857116,(coefficient)
MFSVoltMin,0.470000,(V)
MFSVoltMax,1.690875,(V)
MFSMFMin,0.205867,(g*min^-1)
MFSMFMax,2.927000,(g*min^-1)




SAMPLE LOG

(HH:MM:SS),(s),(YYYY-MM-DDTHH:MM:SS) (UTC date time format),(YYYY-MM-DDTHH:MM:SS) (Local date time format),(L*min^-1),(L),(C),(C),(C),(C),(C),(hPa),(hPa),(Pa),(%),(g*L^-1),(integer),(integer),(V),(g*min^-1),(V),(integer),(%),(#),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(ug*m^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(#*cm^-3),(um),(um),(ug),(-),(decimalDegree),(decimalDegree),(m),(integer),(m*s^-1),(-),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mg),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(mdeg*s^-1),(%),(%),(%),(%),(%),(%),(#),(s),(s),(s),(s),(s),(s)
SampleTime,UnixTime,DateTimeUTC,DateTimeLocal,VolumetricFlowRate,SampledVolume,AtmoT,PumpT,FdpT,BattT,AccelT,AtmoP,PumpP,FdPdP,PumpRH,AtmoRho,PumpPow1,PumpPow2,PumpV,MassFlow,BFGvolt,BFGenergy,SOC,PMMeasCnt,PM1MC,PM1MCVar,PM2_5MC,PM2_5MCVar,PM4MC,PM4MCVar,PM10MC,PM10MCVar,PM0_5NC,PM0_5NCVar,PM1NC,PM1NCVar,PM2_5NC,PM2_5NCVar,PM4NC,PM4NCVar,PM10NC,PM10NCVar,PMtypicalParticleSize,PMtypicalParticleSizeVar,PM2_5SampledMass,GPSQual,GPSlat,GPSlon,GPSalt,GPSsat,GPSspeed,GPShDOP,AccelX,AccelXVar,AccelXMin,AccelXMax,AccelY,AccelYVar,AccelYMin,AccelYMax,AccelZ,AccelZVar,AccelZMin,AccelZMax,RotX,RotXVar,RotXMin,RotXMax,RotY,RotYVar,RotYMin,RotYMax,RotZ,RotZVar,RotZMin,RotZMax,Xup,XDown,Yup,Ydown,Zup,Zdown,StepCount,FLOWCTL,GPSRT,SD_DATAW,SD_HEADW,TPumpsOFF,TPumpsON
0:00:00,1701083047,,,1.016,0.0,27.56,28.21,28.83,0.0,0.0,865.4,866.32,268.299988,57.25,0.9944,462,0,10.132,1.01078,4.13,52770,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,,,,,,0,0.0,0.0,0.0,0.0,0.0,30.0
0:00:53,1701083100,2023-11-27T11:05:00,2023-11-27T13:05:00,1.023,0.51,28.6,28.7,29.64,27.59,29.13,865.37,862.61,268.733337,52.2,0.987,466,0,10.102,1.00821,4.1,52748,99,30.0,4.63,0.04,5.31,0.12,5.66,0.23,5.83,0.29,30.46,0.89,36.3,1.82,36.88,2.29,36.98,2.39,36.98,2.39,0.67,0.0,0.0014,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,909.4,265.9,874,937,-318.2,1543.4,-377,-234,9.2,4033.5,-77,128,-672.4,12480039.0,-18331,5818,-1223.1,32008290.0,-19582,16835,-495.0,8828294.0,-4523,13588,0.0,100.0,0.0,0.0,0.0,0.0,0,0.0,0.038785,0.0,0.0,0.0,30.0
0:01:23,1701083130,2023-11-27T11:05:30,2023-11-27T13:05:30,1.023,1.02,29.14,28.92,30.46,28.18,29.7,865.31,862.1,268.5,50.81,0.9846,470,0,10.066,1.00448,4.1,52736,99,30.0,7.8,4.83,9.38,7.5,10.33,9.56,10.8,10.68,50.23,193.41,60.62,287.36,62.06,304.83,62.34,308.37,62.34,308.37,0.7,0.0,0.0051,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,831.2,2546.9,708,971,-229.5,2379.0,-379,-108,204.0,9581.8,-109,348,1036.4,127139272.0,-28682,53497,-683.6,36668680.0,-13440,16397,-785.2,97901936.0,-25278,45080,0.0,100.0,0.0,0.0,0.0,0.0,0,0.208146,0.086348,0.067823,0.038302,0.0,30.0
0:01:53,1701083160,2023-11-27T11:06:00,2023-11-27T13:06:00,1.021,1.53,29.61,29.13,31.05,28.18,30.3,865.37,861.78,266.799988,48.15,0.9829,474,0,10.031,0.99911,4.09,52724,99,30.0,5.91,0.26,7.24,0.43,8.07,0.56,8.49,0.63,37.7,10.09,45.74,15.25,46.98,16.34,47.22,16.56,47.22,16.56,0.7,0.0,0.0093,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,824.7,1191.8,748,941,-211.2,286.4,-255,-162,233.3,1976.1,62,318,-295.6,6075420.5,-8242,4908,1221.0,179612592.0,-30712,53523,-2293.7,31192676.0,-29277,7122,0.0,100.0,0.0,0.0,0.0,0.0,0,0.220777,0.136589,0.078175,0.039388,0.0,30.0
0:02:23,1701083190,2023-11-27T11:06:30,2023-11-27T13:06:30,1.018,2.03,30.0,29.29,31.55,28.18,30.77,865.36,861.49,264.516663,47.56,0.9812,477,0,10.003,0.99632,4.09,52712,99,30.0,10.42,45.33,13.05,76.15,14.76,102.37,15.6,116.81,65.75,1747.09,80.3,2654.99,82.79,2854.93,83.29,2896.12,83.29,2896.12,0.73,0.0,0.0144,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,811.0,2495.6,688,884,-245.4,1583.6,-348,-171,244.6,5534.0,112,441,-1222.8,25537664.0,-14743,9721,657.6,85556528.0,-19661,24027,-1532.2,9171136.0,-8023,6352,0.0,100.0,0.0,0.0,0.0,0.0,0,0.209752,0.185521,0.067976,0.039364,0.0,30.0
0:02:53,1701083220,2023-11-27T11:07:00,2023-11-27T13:07:00,1.015,2.54,30.36,29.47,31.93,28.76,30.96,865.33,861.22,263.666656,46.07,0.9798,480,0,9.979,0.99399,4.09,52700,99,30.0,11.48,19.61,17.71,39.02,22.43,57.72,24.75,68.32,63.8,687.57,84.18,1105.89,90.59,1228.57,91.91,1254.52,91.91,1254.52,0.86,0.0,0.0222,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,805.9,499.1,713,836,-219.4,101.6,-260,-205,265.4,487.4,233,358,-405.5,318535.3,-2292,638,610.1,15453669.0,-8496,15776,-984.4,2548035.0,-3893,6326,0.0,100.0,0.0,0.0,0.0,0.0,0,0.210968,0.185482,0.067963,0.038402,0.0,30.0
0:03:23,1701083250,2023-11-27T11:07:30,2023-11-27T13:07:30,1.014,3.04,30.67,29.65,32.32,28.76,31.62,865.32,861.14,262.133331,43.53,0.9791,482,0,9.963,0.9905,4.09,52688,99,30.0,5.33,0.61,8.49,1.73,10.91,2.99,12.1,3.73,28.93,16.61,38.74,31.41,42.01,37.94,42.68,39.37,42.68,39.37,0.84,0.0,0.0288,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,811.0,1209.0,663,837,-207.2,164.6,-239,-181,248.6,910.5,178,332,-1018.8,11435642.0,-17368,4077,2613.0,179512384.0,-10867,70708,-1127.9,3873692.0,-5110,6282,0.0,100.0,0.0,0.0,0.0,0.0,0,0.21125,0.069524,0.068081,0.03934,0.0,30.0
0:03:53,1701083280,2023-11-27T11:08:00,2023-11-27T13:08:00,1.013,3.55,30.93,29.8,32.62,28.76,31.77,865.29,860.98,260.850006,43.56,0.9779,484,0,9.947,0.9898,4.09,52676,99,30.0,3.9,0.06,5.88,0.23,7.37,0.45,8.11,0.57,22.0,1.36,28.74,3.01,30.78,3.92,31.2,4.12,31.2,4.12,0.8,0.0,0.0325,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,837.0,2489.7,739,905,-248.4,4265.7,-349,-155,191.2,10329.6,44,357,182.6,1254227.1,-1575,4016,-536.1,33951052.0,-19215,10981,-1118.2,2252771.5,-4733,2458,0.0,100.0,0.0,0.0,0.0,0.0,0,0.210212,0.126879,0.067887,0.039296,0.0,30.0
0:04:23,1701083310,2023-11-27T11:08:30,2023-11-27T13:08:30,1.012,4.05,31.18,29.97,32.88,29.35,32.12,865.3,860.77,260.149994,42.23,0.977,486,0,9.931,0.98725,4.09,52664,99,30.0,4.36,0.26,6.31,0.46,7.76,0.64,8.46,0.73,25.32,9.66,32.52,15.0,34.5,16.32,34.91,16.59,34.91,16.59,0.78,0.0,0.0356,0.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,-9999.0,842.2,259.4,802,881,-281.2,357.3,-345,-247,191.5,1692.8,61,272,-420.7,5150600.0,-11086,4322,839.4,15369546.0,-10937,8680,-1047.1,1787777.9,-3780,3316,0.0,100.0,0.0,0.0,0.0,0.0,0,0.216592,0.172359,0.075975,0.038385,0.0,30.0
