,Variables,Units,Names and Units,Readable Name,Description
0,SampleTime,(HH:MM:SS),SampleTime(HH:MM:SS),Sample Time,Amount of time passed since the start of sample collection
1,UnixTime,(s),UnixTime(s),Unix Time,Number of seconds since 01/01/1970
2,DateTimeUTC,(YYYY-MM-DDTHH:MM:SS) (UTC date time format),DateTimeUTC(YYYY-MM-DDTHH:MM:SS) (UTC date time format),Coordinated Universal Time,timezone from which other timezones determined
3,DateTimeLocal,(YYYY-MM-DDTHH:MM:SS) (Local date time format),DateTimeLocal(YYYY-MM-DDTHH:MM:SS) (Local date time format),Local Time,Time at the study site
4,VolumetricFlowRate,(L*min^-1),VolumetricFlowRate(L*min^-1),Volumetric Flow Rate, liters of air flowing through the filter each minute
5,SampledVolume,(L),SampledVolume(L), Sampled Volume, Total accrued liters of air sampled so far during the study
6,AtmoT,(C),AtmoT(C),Atmospheric Temperature,Temperature in Celcius outside of the device
7,PumpT,(C),PumpT(C),Pump Temperature,Temperature in Celcius measured at the air pump in the device
8,FdpT,(C),FdpT(C),Temperature of the Filter Differential Pressure Sensor,Temperature in Celcius measured at the filter differential pressure sensor for the device
9,BattT,(C),BattT(C),Battery Temperature,Temperature of the device's battery
10,AccelT,(C),AccelT(C),Accelerometer Temperature,Temperature in Celcius measured at the device's accelerometer
11,AtmoP,(hPa),AtmoP(hPa),Atmospheric Pressure,"Atmospheric pressure (changes with altitude, temperature, and humidity)"
12,PumpP,(hPa),PumpP(hPa),Pump Pressure,Pressure at the device's pump
13,FdPdP,(Pa),FdPdP(Pa),Differential Pressure Across Filter,The difference in pressure from one side of the filter to the other
14,PumpRH,(%),PumpRH(%),Relative Humidity,Air water content measured at the device's pump
15,AtmoRho,(g*L^-1),AtmoRho(g*L^-1),Atmospheric Air Density,"The density of the ambient air (changes with altitude, pressure, temperature and humidity)"
16,PumpV,(V),PumpV(V),Pump Voltage,The pump's power use
17,MassFlow,(g*min^-1),MassFlow(g*min^-1),Mass Flow,Mass of air sucked through the filter every minute
18,BFGvolt,(V),BFGvolt(V),Battery Voltage,The battery's energy output per unit of charge
19,PMMeasCnt,(#),PMMeasCnt(#),Particulate Matter Measurement Count,Number of particles passing through the filter
20,PM1MC,(ug*m^-3),PM1MC(ug*m^-3),PM1 Particle Mass Concentration,Concentration of particlute matter per cubic meter where the particle diameter is 1 micrometer or less
21,PM2_5MC,(ug*m^-3),PM2_5MC(ug*m^-3),PM2.5 Particle Mass Concentration,Concentration of particulate matter per cubic meter where the particle diameter is 2.5 micrometers or less
22,PM4MC,(ug*m^-3),PM4MC(ug*m^-3),PM4 Particle Mass Concentration,Concentration of particulate matter per cubic meter where the particle diameter is 4 micrometers or less
23,PM10MC,(ug*m^-3),PM10MC(ug*m^-3),PM10 Particle Mass Concentration,Concentration of particulate matter per cubic meter where the particle diameter is 10 micrometers or less
24,PM0_5NC,(#*cm^-3),PM0_5NC(#*cm^-3),PM0.5 Particle Count,The number of particles in a cubic centimeter that are 0.5 micrometers or less in diameter
25,PM1NC,(#*cm^-3),PM1NC(#*cm^-3),PM1 Particle Count,The number of particles in a cubic centimeter that are 1 micrometer or less in diameter
26,PM2_5NC,(#*cm^-3),PM2_5NC(#*cm^-3),PM2.5 Particle Count,The number of particles in a cubic centimeter that are 2.5 micrometers or less in diameter
27,PM4NC,(#*cm^-3),PM4NC(#*cm^-3),PM4 Particle Count,The number of particles in a cubic centimeter that are 4 micrometers or less in diameter
28,PM10NC,(#*cm^-3),PM10NC(#*cm^-3),PM10 Particle Count,The number of particles in a cubic centimeter that are 10 micrometers or less in diameter
29,PMtypicalParticleSize,(um),PMtypicalParticleSize(um),Typical Particle Size,The average size of particulate matter (in micrometers) that the filter measures
30,PM2_5SampledMass,(ug),PM2_5SampledMass(ug),Sampled Mass of PM2.5 Particles,Total mass of particulates (in micrograms) passing through the filter that are 2.5 micrometers in diameter or less 
